block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,percent_staked,atom_staked_v,community_tax,min_proposer_bonus,max_proposer_bonus,v_commission,self_bonded_rew_amt,commission_amt,inflation_rate,total_supply,n_validators,timestamp,sign_ratio,total_block_fees
12689893,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.156304487329000000,164089.105409007695653845,0.130666909768332691,314518564181001,175,2022-11-02T16:35:16.836064494Z,1.0,21258.0
12689895,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.196323219882000000,164350.138901721429002780,0.130666919657092316,314518573606957,175,2022-11-02T16:35:29.403830895Z,1.0,12425.0
12689897,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.276403894497000000,164872.487733393695925959,0.130666939434631107,314518592458872,175,2022-11-02T16:35:48.014366349Z,1.0,5596.0
12689899,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.356433472895000000,165394.503275554068785506,0.130666959212195990,314518611310791,175,2022-11-02T16:36:00.567935652Z,1.0,6591.0
12689900,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.396457361566000000,165655.570400508882089508,0.130666969100988189,314518620736752,175,2022-11-02T16:36:06.887228563Z,1.0,0.0
12689901,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.436503484432000000,165916.782554283021493280,0.130666978989786965,314518630162714,175,2022-11-02T16:36:13.248492962Z,1.0,8515.0
12689902,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.516577089931000000,166439.085275647464507640,0.130666998767444112,314518649014641,175,2022-11-02T16:36:19.606774700Z,1.0,0.0
12689904,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.556587561433000000,166700.064883328287422688,0.130667008656280736,314518658440606,175,2022-11-02T16:36:32.472111193Z,1.0,8159.0
12689905,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.596618127981000000,166961.175566619847028731,0.130667018545123938,314518667866572,175,2022-11-02T16:36:38.851778066Z,1.0,9985.0
12689906,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.636656446795000000,167222.336816261644736308,0.130667028433973717,314518677292539,175,2022-11-02T16:36:45.296725753Z,1.0,3000.0
