block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,atom_staked_v,percent_staked,community_tax,min_proposer_bonus,max_proposer_bonus,total_supply,inflation_rate,v_commission,self_bonded_rew_amt,commission_amt,n_validators,timestamp,sign_ratio,total_block_fees
12675618,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11779065.5791041384060368,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384100800495,0.130525684420237231,2.5,44.390285615089621089,7056327.203880288159257582,175,2022-11-01T13:58:16.627940397Z,1.0,0.0
12675619,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11778745.4586779533575499,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384110212238,0.130525694245230801,2.5,44.470748515343621902,7069117.387132843730715061,175,2022-11-01T13:58:23.017618289Z,1.0,11359.0
12675620,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11778745.4586779533575499,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384119623982,0.130525704070230257,2.5,44.625218297676876720,7093671.520986300263136419,175,2022-11-01T13:58:29.504620726Z,1.0,9554.0
12675621,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11778745.4586779533575499,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384129035727,0.130525713895234652,2.5,44.705708554013437888,7106466.052693869956656341,175,2022-11-01T13:58:36.271459451Z,1.0,0.0
12675622,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11778745.4586779533575499,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384138447473,0.130525723720234731,2.5,44.786230283965489034,7119265.587369888115213131,175,2022-11-01T13:58:42.593338001Z,1.0,25151.0
12675623,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11778745.4586779533575499,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384147859220,0.130525733545238427,2.5,44.866853808159574891,7132081.303005969408176809,175,2022-11-01T13:58:48.908186129Z,1.0,5858.0
12675625,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11778745.4586779533575499,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384166682717,0.130525753195239795,2.5,45.027890038078805244,7157679.223096989677036089,175,2022-11-01T13:59:01.911532655Z,1.0,0.0
12675626,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11778745.4586779533575499,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384176094467,0.130525763020237351,2.5,45.109585156450801976,7170665.276688800558061218,175,2022-11-01T13:59:08.297893847Z,1.0,2500.0
12675627,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11778745.4586779533575499,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384185506218,0.130525772845241479,2.5,45.190015182691551964,7183450.234369612009761916,175,2022-11-01T13:59:14.953416154Z,1.0,27591.0
12675628,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11778745.4586779533575499,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384194917970,0.130525782670268552,2.5,45.270659580782848601,7196269.268069025784637171,175,2022-11-01T13:59:21.347196278Z,1.0,0.0
12675629,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11778745.4586779533575499,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384204329723,0.130525792495301501,2.5,45.351118731590478336,7209058.855318919625932245,175,2022-11-01T13:59:27.715257519Z,1.0,11982.0
12675630,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11778745.4586779533575499,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384213741477,0.130525802320340907,2.5,45.431629798294046537,7221856.694991211820502227,175,2022-11-01T13:59:33.905727319Z,1.0,0.0
